Zeit t / s;Frequenz f / Hz;Spannung U_B1 / V;Weg &b_A1 / rad;zeiliche Ableitung w_1 / rad/s;FFT fft / rad
17,20055925;0,839834029013607;0,005;1,12;4,59187591767928;0,00236668609223276
17,300222;0,844716784996244;0,005;1,52;3,20517120215142;0,00235454728768307
17,40059725;0,849599540978882;0;1,76;1,44295855608424;0,00234895539733599
17,5002435;0,854482296961519;0,005;1,81;-0,388843939973638;0,00224812353182139
17,60103925;0,859365052944156;0,005;1,68;-2,25757925070652;0,00211534282696322
17,70061325;0,864247808926793;0,005;1,36;-3,86842750055971;0,00228975853830014
17,800112;0,869130564909431;0,01;0,91;-5,00216087015242;0,00229217316369591
17,900379;0,874013320892068;0,005;0,36;-5,62866397096125;0,00232370844427145
18,00085925;0,878896076874705;0;-0,22;-5,6965514127821;0,00222064983919731
18,10047725;0,883778832857342;0,005;-0,78;-5,23385600627819;0,00216132087527581
18,19947375;0,888661588839979;0,01;-1,26;-4,12023913989983;0,0021691381556433
18,30006225;0,893544344822617;0,005;-1,6;-2,58634888146796;0,00213502637995114
18,40033725;0,898427100805254;0,005;-1,78;-0,847373811252492;0,00211560182601401
18,50055575;0,903309856787891;0,005;-1,77;1,00419612060111;0,00204307834307353
18,60031925;0,908192612770529;0,005;-1,58;2,75010500149151;0,00215865857196304
18,70037075;0,913075368753166;0,01;-1,22;4,21214339925112;0,00191064604423331
18,79989575;0,917958124735803;0,005;-0,74;5,19569803912302;0,00201405837850751
18,90039575;0,92284088071844;0,01;-0,18;5,61514843332779;0,00194392462946334
18,99937925;0,927723636701077;0,005;0,38;5,52522732381495;0,00224094645782087
19,09953925;0,932606392683715;0,005;0,92;4,83341591461421;0,00195853230338427
19,20017575;0,937489148666352;0,005;1,35;3,58289346383454;0,00193204167503981
19,30029575;0,942371904648989;0,005;1,64;1,99643786471303;0,00181414230064776
19,40167725;0,947254660631627;0,01;1,75;0,173607241220661;0,00215312268748973
19,50010125;0,952137416614264;0,005;1,68;-1,54037475796071;0,00192786878759756
19,60063325;0,957020172596901;0,005;1,44;-3,19955402705974;0,00196545341479703
19,70047725;0,961902928579538;0,01;1,04;-4,51095604351623;0,00173598970257261
19,80017925;0,966785684562176;0,005;0,54;-5,32857102930338;0,00200780825045124
19,90113325;0,971668440544813;0,005;-0,03;-5,59065359993119;0,00187928234256289
20,000482;0,97655119652745;0,005;-0,58;-5,22924433497887;0,00190480010314558
20,10003925;0,981433952510087;0,005;-1,07;-4,4029911058882;0,00173561213151464
20,20057875;0,986316708492725;0,01;-1,46;-3,03732376792667;0,00190811817001247
20,300572;0,991199464475362;0,005;-1,68;-1,34942145591975;0,00189561409020574
20,40018125;0,996082220457999;0,005;-1,73;0,393120314631662;0,00169058959439116
20,500559;1,00096497644064;0,01;-1,6;2,1146008568759;0,00170283141376088
20,59973;1,00584773242327;0,01;-1,31;3,59132093122553;0,00155009244972805
20,700459;1,01073048840591;0,005;-0,88;4,76731405362564;0,00165288950662193
20,80111625;1,01561324438855;0,01;-0,35;5,40031698159903;0,00161728255403867
20,90051;1,02049600037119;0,005;0,2;5,42098037904565;0,00159979376403041
21,00036125;1,02537875635382;0,005;0,73;4,88574065275902;0,00169457849466576
21,101279;1,03026151233646;0,005;1,18;3,84547531643444;0,00164622323318098
21,19985925;1,0351442683191;0,005;1,5;2,52273828945389;0,00169705321203988
21,300912;1,04002702430173;0,005;1,68;0,783309196669685;0,00175953447443884
21,40055575;1,04490978028437;0,005;1,66;-0,988308914826039;0,00167487229941026
21,501382;1,04979253626701;0,005;1,48;-2,60626446934611;0,00174511401158459
21,60089625;1,05467529224965;0,005;1,14;-4,01254738322342;0,00165181969696621
21,70067725;1,05955804823228;0,01;0,68;-4,95872437400759;0,00166299151924421
21,80053375;1,06444080421492;0,005;0,15;-5,36460790347352;0,00156766123741678
21,900138;1,06932356019756;0,005;-0,39;-5,20913482195814;0,00158495239491733
22,00022225;1,0742063161802;0,005;-0,89;-4,52953615055845;0,00160674827653657
22,10123325;1,07908907216283;0,01;-1,3;-3,38473527355858;0,00154657405127519
22,20039375;1,08397182814547;0,005;-1,57;-1,86473245164366;0,00156203077274299
22,300902;1,08885458412811;0,005;-1,67;-0,144470447167799;0,00154718119393355
22,400792;1,09373734011074;0,005;-1,6;1,50674046672504;0,00159547276466897
22,50035575;1,09862009609338;0,005;-1,37;3,04040567691324;0,0013350063524906
22,6009335;1,10350285207602;0,005;-0,99;4,30496948160091;0,00153535671953885
22,70039625;1,10838560805866;0,005;-0,51;5,06661502450213;0,00143547804100708
22,80024125;1,11326836404129;0,005;0,02;5,28333098535044;0,00160144904874406
22,90103625;1,11815112002393;0,01;0,55;4,93945359538568;0,00135956811455061
23,00049725;1,12303387600657;0,005;1,01;4,10240902442942;0,0014465794248401
23,10125;1,1279166319892;0,005;1,37;2,83548860329075;0,00146532092454298
23,2010035;1,13279938797184;0,005;1,58;1,30236344053267;0,00137869730685492
23,30019;1,13768214395448;0,01;1,63;-0,392199331506234;0,00141134235843922
23,4003785;1,14256489993712;0,005;1,5;-2,05303852064696;0,00132390871737738
23,500179;1,14744765591975;0;1,22;-3,44513139936157;0,00141779394269739
23,60047625;1,15233041190239;0,005;0,81;-4,51987297953026;0,00132012787105152
23,70139325;1,15721316788503;0,005;0,31;-5,13413775192978;0,00146955292929643
23,80117325;1,16209592386767;0,005;-0,22;-5,11916925625682;0,00142993503396616
23,90061925;1,1669786798503;0,005;-0,71;-4,61256052725017;0,0014780859152476
24,000718;1,17186143583294;0,005;-1,14;-3,65348979313847;0,00133671205748552
24,1002185;1,17674419181558;0,005;-1,44;-2,30428906422004;0,00148799932977688
24,20137725;1,18162694779821;0,005;-1,6;-0,732313370563065;0,00143981028652791
24,30059925;1,18650970378085;0,01;-1,59;0,949218747287936;0,00139148239069765
24,40043725;1,19139245976349;0,005;-1,41;2,53803490149399;0,00127632846622347
24,50107625;1,19627521574613;0,005;-1,08;3,80522854161338;0,00126234862789418
24,60049725;1,20115797172876;0,01;-0,65;4,69849299499847;0,00138503316813295
24,700972;1,2060407277114;0,005;-0,14;5,09035922605974;0,00142642855644226
24,80087925;1,21092348369404;0,01;0,37;4,91438094685365;0,00138292061457844
24,90035325;1,21580623967668;0,005;0,84;4,25950743672505;0,00113245301276633
25,000603;1,22068899565931;0,01;1,22;3,20811452347413;0,00111194016798487
25,09928125;1,22557175164195;0,005;1,48;1,82225161421149;0,00125389890100971
25,19999325;1,23045450762459;0,005;1,58;0,147676848451573;0,00153672800124066
25,30054025;1,23533726360722;0,005;1,51;-1,50938970548073;0,00135939318054127
25,3999585;1,24022001958986;0,01;1,28;-2,9451408863559;0,00124860857642672
25,50042025;1,2451027755725;0,005;0,92;-4,11512371909354;0,00109951959091163
25,59956225;1,24998553155514;0,005;0,46;-4,78476458042482;0,00126871541611054
25,70092125;1,25486828753777;0,01;-0,04;-4,9872002271605;0,00130650880951552
25,800122;1,25975104352041;0,005;-0,54;-4,72196012465811;0,00125216972902886
25,90009575;1,26463379950305;0,005;-0,98;-3,89605124379883;0,00132062270206475
26,00041425;1,26951655548569;0,005;-1,32;-2,64342169207967;0,00120613181366111
26,10041375;1,27439931146832;0,005;-1,51;-1,20020352356094;0,00129911134827812
26,20061;1,27928206745096;0,005;-1,56;0,409628114764294;0,00110999090866473
26,29986575;1,2841648234336;0,01;-1,43;1,99726582099637;0,00116423649607964
26,400163;1,28904757941623;0,005;-1,16;3,28538053550399;0,00109394248926415
26,50067725;1,29393033539887;0,005;-0,77;4,29830010849005;0,00126246622523422
26,60039625;1,29881309138151;0,005;-0,3;4,87963439047823;0,00121372578279027
26,70142225;1,30369584736415;0,005;0,21;4,89540266168583;0,00126167873166642
26,80046125;1,30857860334678;0,005;0,68;4,36466161338164;0,00102332626123848
26,90101725;1,31346135932942;0,005;1,08;3,44133682400036;0,00115724867619808
27,00069075;1,31834411531206;0,005;1,37;2,15811516526588;0,00109019161395307
27,10003925;1,32322687129469;0,005;1,51;0,613609008638083;0,00128615880912205
27,2013235;1,32810962727733;0,005;1,49;-0,963295867221028;0,00120906436218406
27,30053725;1,33299238325997;0,005;1,32;-2,41466545816839;0,00115098467787857
27,39997725;1,33787513924261;0,005;1,01;-3,63614326770608;0,00112025713395772
27,50087925;1,34275789522524;0,005;0,59;-4,50229512304562;0,00115213324813723
27,6001235;1,34764065120788;0,005;0,11;-4,85192663153805;0,00122321086859553
27,70079075;1,35252340719052;0,005;-0,38;-4,63452166791733;0,00114882438437744
27,80071725;1,35740616317316;0,005;-0,82;-4,01534996628677;0,00106134219739422
27,899879;1,36228891915579;0;-1,18;-3,01743081419762;0,00111214927157516
27,99992125;1,36717167513843;0,005;-1,42;-1,59932871322756;0,00106299770703106
28,10029725;1,37205443112107;0,005;-1,5;-0,0482551204158205;0,00106277023471376
28,20045725;1,3769371871037;0,01;-1,43;1,41209177014828;0,0010337584048697
28,2996035;1,38181994308634;0,005;-1,22;2,82094371787269;0,00114402748503775
28,40125375;1,38670269906898;0,005;-0,86;3,93159063910911;0,00120862115104243
28,50305375;1,39158545505162;0,01;-0,42;4,56342043431557;0,00109237734251802
28,60105925;1,39646821103425;0,005;0,05;4,7693492387463;0,00107287785167214
28,70015775;1,40135096701689;0,01;0,52;4,46668759042283;0,00110857278670905
28,800462;1,40623372299953;0,005;0,94;3,64461109826202;0,00116848818161203
28,90032125;1,41111647898217;0,005;1,25;2,44917406095285;0,00110947062384407
29,00093425;1,4159992349648;0,01;1,43;1,0418491886938;0,000964120292813523
29,10075725;1,42088199094744;0,005;1,46;-0,455700377267425;0,00101980640078491
29,200082;1,42576474693008;0,005;1,34;-1,89191171018045;0,00101794444914884
29,3006835;1,43064750291271;0,005;1,08;-3,20393095149025;0,00116565171277748
29,400239;1,43553025889535;0,005;0,7;-4,13249917327455;0,00105961827362109
29,501299;1,44041301487799;0,01;0,25;-4,62177194823819;0,00105047394644539
29,59950275;1,44529577086063;0;-0,22;-4,61178164721126;0,000964448549462564
29,7010445;1,45017852684326;0,01;-0,67;-4,12928275940214;0,00104340922157719
29,80015425;1,4550612828259;0,005;-1,05;-3,2590219892767;0,00107991691655333
29,90117;1,45994403880854;0,005;-1,32;-1,93437303195651;0,00103570815152342
30,00047425;1,46482679479118;0,005;-1,44;-0,509382121104813;0,00102331900746567
30,101079;1,46970955077381;0,005;-1,42;0,955380119187545;0,000969746015356772
30,20077725;1,47459230675645;0,005;-1,25;2,3652061262365;0,00104778600188921
30,30003725;1,47947506273909;0,005;-0,95;3,49226556131237;0,00104070234598604
30,40081;1,48435781872172;0,01;-0,55;4,25383988356781;0,000982362519270219
30,500059;1,48924057470436;0,01;-0,1;4,60963777805287;0,000933348382793882
30,60035725;1,494123330687;0,005;0,37;4,42890481990494;0,000949335848010561
30,7010585;1,49900608666964;0,01;0,79;3,75236477374459;0,00107037203866731
30,799798;1,50388884265227;0,005;1,12;2,77143582217144;0,00105670915459687
30,9002035;1,50877159863491;0,005;1,34;1,49374654246739;0,00107863114315009
31,00101725;1,51365435461755;0,005;1,42;-0,00836599481120371;0,00104410802043459
31,10077925;1,51853711060018;0,005;1,34;-1,4534592329745;0,00104406661582443
31,20054125;1,52341986658282;0,005;1,13;-2,73298600414242;0,0010009987736648
31,30148025;1,52830262256546;0,01;0,79;-3,76329742673065;0,000821295961643915
31,400279;1,5331853785481;0,005;0,38;-4,35612800041347;0,0010464332201196
31,50101375;1,53806813453073;0,005;-0,08;-4,50886892345286;0,000963187723789575
31,59983725;1,54295089051337;0,005;-0,52;-4,16347552732412;0,00116580923398336
31,7006445;1,54783364649601;0,005;-0,91;-3,39404231659211;0,00098524401022953
31,7997035;1,55271640247865;0,005;-1,2;-2,31598466849161;0,000955966302433854
31,899832;1,55759915846128;0,005;-1,37;-0,949386139098775;0,000971381000752719
32,00018125;1,56248191444392;0,005;-1,39;0,493872574190919;0,000991320403866798
32,100998;1,56736467042656;0,01;-1,27;1,85965421725418;0,001086629149299
32,20025625;1,57224742640919;0,005;-1,02;3,06768640150221;0,00092330904876661
32,29975775;1,57713018239183;0,01;-0,66;3,98402354734492;0,000901722458173644
32,40077725;1,58201293837447;0,005;-0,22;4,36958996512517;0,00105874291006124
32,50115375;1,58689569435711;0,005;0,22;4,35628162493041;0,00113344123153567
32,60047575;1,59177845033974;0,005;0,65;3,90218967452038;0,0010648841378074
32,70139375;1,59666120632238;0,01;1;2,94429017083624;0,000813063735482078
32,80007725;1,60154396230502;0,005;1,24;1,81844324841416;0,000883327358923618
32,90065775;1,60642671828766;0;1,36;0,441436146917031;0,000941205437078416
33,00009875;1,61130947427029;0,01;1,33;-1,00083286232222;0,000999136203489963
33,09993625;1,61619223025293;0,005;1,16;-2,29461614013392;0,000898663277895945
33,20029725;1,62107498623557;0,01;0,87;-3,34181005751109;0,000878248237213998
33,30047575;1,6259577422182;0,005;0,49;-4,04584991492264;0,000986752757486307
33,40051925;1,63084049820084;0,01;0,06;-4,36836983212734;0,00107503911984042
